client_id,first_name,last_name,age,email,phone,city,region,postal_code,registration_date,purchase_date,product,category,quantity,unit_price,total_purchase,payment_method,order_status,rating
CLI0001,Bernarda,Comas,32,moises66@example.org,+34 886 632 788,Valencia,Valencian Community,23817,2022-11-19,2023-09-08,Book,Culture,3,11.01,33.03,Credit card,Cancelled,
CLI0002,Daniela,Carbajo,32,ysolano@example.net,+34846 78 01 23,Las Palmas,Canary Islands,35261,2021-11-17,2023-08-12,Headphones,Electronics,1,40.17,40.17,Cash,Completed,5
CLI0003,Lalo,Mateos,69,kjauregui@example.org,+34 814024598,Vigo,Galicia,51291,2021-10-21,2023-10-12,Headphones,Electronics,5,100.54,502.7,Credit card,Completed,3
CLI0004,Felipa,Ferrer,23,brionespaula@example.com,+34887 18 79 21,Murcia,Region of Murcia,10361,2021-10-02,2023-04-15,Dress,Clothing,3,43.99,131.97,Credit card,Completed,5
CLI0005,Pepito,Salcedo,25,pujadasroberto@example.com,+34 800 244 264,Gijon,Asturias,34812,2024-04-11,2024-07-03,Dress,Clothing,4,102.64,410.56,Bizum,Completed,5
CLI0006,Luis,Moll,63,cintia08@example.net,+34979 83 15 63,Madrid,Community of Madrid,02273,2021-11-18,2023-07-16,Perfume,Accessories,5,132.71,663.55,Credit card,Completed,1
CLI0007,Heriberto,Rosell,35,enriquezaitana@example.com,+34 828 92 08 60,Palma,Balearic Islands,47772,2023-07-12,2024-01-25,Watch,Accessories,1,154.76,154.76,Bank transfer,Completed,2
CLI0008,Seve,Miguel,58,xprada@example.net,+34846643147,Valencia,Valencian Community,20597,2022-11-28,2024-09-15,Book,Culture,1,15.21,15.21,Cash,Completed,
CLI0009,Paca,Montoya,61,ildefonsorecio@example.com,+34823 27 27 40,Malaga,Andalusia,37483,2023-04-10,2023-08-13,Headphones,Electronics,5,116.38,581.9,Credit card,Completed,3
CLI0010,Noelia,Cerdá,74,maria-fernanda36@example.net,+34849 24 28 43,Cordoba,Andalusia,05815,2023-12-16,2024-08-03,Headphones,Electronics,2,115.68,231.36,Bank transfer,Completed,4
CLI0011,Georgina,Huertas,34,casanovascasandra@example.net,+34 844 39 25 89,Valencia,Valencian Community,39297,2021-12-02,2023-05-27,Perfume,Accessories,4,139.32,557.28,PayPal,Cancelled,5
CLI0012,América,Gil,32,icordoba@example.com,+34976 94 52 36,Valencia,Valencian Community,50149,2021-07-20,2024-01-06,Headphones,Electronics,4,317.3,1269.2,Cash,Pending,
CLI0013,Fabricio,Lledó,28,luis06@example.org,+34981 386 411,Valladolid,Castile and León,16215,2024-04-11,2024-10-04,T-shirt,Clothing,2,35.83,71.66,Bizum,Cancelled,
CLI0014,Guadalupe,Salinas,34,xavier58@example.net,+34 975 00 83 00,Las Palmas,Canary Islands,19349,2023-11-29,2024-06-25,Headphones,Electronics,4,220.68,882.72,Credit card,Completed,5
CLI0015,Amado,Figuerola,36,amorcano@example.com,+34 902 17 43 73,Murcia,Region of Murcia,02502,2022-09-24,2023-04-25,Backpack,Accessories,3,41.35,124.05,PayPal,Pending,
CLI0016,Nicodemo,Campos,66,tatianazabaleta@example.com,+34 982 833 563,Valencia,Valencian Community,33697,2024-04-05,2024-05-27,Notebook,Culture,3,22.52,67.56,Cash,Completed,3
CLI0017,Nilo,Gutiérrez,27,ulises99@example.org,+34848556355,Malaga,Andalusia,32897,2023-04-28,2023-07-23,Watch,Accessories,5,337.53,1687.65,PayPal,Cancelled,5
CLI0018,Crescencia,Ayuso,19,vidalminguez@example.org,+34844 261 956,Madrid,Community of Madrid,20809,2022-05-09,2024-05-15,Perfume,Accessories,3,25.07,75.21,Bank transfer,Completed,
CLI0019,Lope,Martín,64,deliamorera@example.net,+34 950 08 87 45,Palma,Balearic Islands,42098,2022-11-24,2023-03-29,Jacket,Clothing,1,181.7,181.7,Credit card,Cancelled,2
CLI0020,Petrona,Buendía,34,toribio08@example.net,+34886649103,Las Palmas,Canary Islands,40364,2022-07-09,2023-06-19,Book,Culture,5,20.83,104.15,Cash,Pending,5
CLI0021,Mariana,Galiano,37,ydiez@example.net,+34 813 79 30 03,Murcia,Region of Murcia,52061,2023-04-14,2024-12-31,Backpack,Accessories,2,78.39,156.78,Bank transfer,Pending,4
CLI0022,Tatiana,Donoso,19,chicojoan@example.com,+34978300738,Bilbao,Basque Country,50056,2023-01-30,2023-12-13,Trousers,Clothing,1,38.63,38.63,Cash,Completed,1
CLI0023,Atilio,Morán,22,isa17@example.net,+34 843620612,Gijon,Asturias,24650,2023-08-06,2023-08-23,Trousers,Clothing,1,63.93,63.93,Credit card,Completed,
CLI0024,Valentina,Fernández,52,jovita31@example.org,+34 825 830 800,Valencia,Valencian Community,39469,2022-04-14,2023-08-08,Jacket,Clothing,4,91.77,367.08,Cash,Cancelled,4
CLI0025,Teresa,Guitart,60,nidia86@example.org,+34879 146 401,Murcia,Region of Murcia,22873,2022-02-08,2023-04-10,Backpack,Accessories,1,52.56,52.56,Bank transfer,Pending,1
CLI0026,Felicidad,Vaquero,43,gimenobernardo@example.com,+34 986 934 275,Cordoba,Andalusia,37571,2022-01-08,2023-03-04,Book,Culture,1,25.64,25.64,Bank transfer,Completed,
CLI0027,Elba,Doménech,29,graciana13@example.net,+34972720965,Zaragoza,Aragon,48400,2021-10-17,2024-03-08,Jacket,Clothing,2,130.44,260.88,Bizum,Completed,1
CLI0028,Manuela,Garmendia,21,victorianobarrios@example.net,+34 946 32 60 49,Alicante,Valencian Community,11765,2021-09-24,2023-04-11,Keyboard,Electronics,5,149.28,746.4,Cash,Completed,2
CLI0029,Elba,Llabrés,73,gracianacarrillo@example.net,+34 849 51 93 80,Murcia,Region of Murcia,12085,2021-11-05,2023-08-07,Shoes,Clothing,4,84.71,338.84,Credit card,Completed,4
CLI0030,Piedad,Benavides,45,yago67@example.org,+34 849 35 59 28,Cordoba,Andalusia,17138,2021-09-29,2023-10-20,Dress,Clothing,4,113.39,453.56,Cash,Pending,
CLI0031,Chema,Tormo,65,eufemiavillena@example.com,+34986 531 102,Las Palmas,Canary Islands,36611,2024-07-19,2024-08-16,Dress,Clothing,1,49.59,49.59,Credit card,Completed,
CLI0032,Damián,Ruiz,21,martin56@example.com,+34 848 27 68 47,Las Palmas,Canary Islands,43588,2021-11-22,2023-06-11,Monitor,Electronics,5,459.91,2299.55,Credit card,Completed,
CLI0033,Catalina,Mata,25,noguerajordana@example.com,+34924804146,Gijon,Asturias,50648,2023-01-08,2024-02-18,Trousers,Clothing,2,62.14,124.28,Cash,Completed,1
CLI0034,Máximo,Clavero,51,ferrandeznatividad@example.com,+34 876 59 19 91,Malaga,Andalusia,50983,2024-01-12,2024-08-01,Monitor,Electronics,5,203.29,1016.45,Bank transfer,Completed,3
CLI0035,Primitivo,Ferrando,59,floresgisela@example.net,+34 926946769,Zaragoza,Aragon,39667,2023-02-04,2024-11-18,Jacket,Clothing,2,89.84,179.68,Bizum,Completed,1
CLI0036,Encarnación,Hoz,22,carmela50@example.com,+34885 398 071,Las Palmas,Canary Islands,47636,2023-04-03,2023-04-13,T-shirt,Clothing,5,23.75,118.75,PayPal,Cancelled,
CLI0037,Américo,Llopis,41,hortensia27@example.org,+34971 85 34 06,Zaragoza,Aragon,31313,2022-04-30,2023-09-08,Perfume,Accessories,1,68.63,68.63,PayPal,Pending,3
CLI0038,Feliciano,Comas,60,ana-belen13@example.com,+34 922877023,Vigo,Galicia,46663,2021-07-01,2023-01-09,Monitor,Electronics,5,789.5,3947.5,Cash,Completed,1
CLI0039,Ignacio,Salgado,65,jimenezcleto@example.net,+34853 506 138,Las Palmas,Canary Islands,28402,2022-09-25,2023-04-20,Perfume,Accessories,1,41.79,41.79,PayPal,Completed,
CLI0040,Jose Ramón,Porcel,58,gallegoolalla@example.net,+34 927373472,Vigo,Galicia,29465,2021-09-13,2024-12-04,Jacket,Clothing,2,157.64,315.28,Bank transfer,Cancelled,1
CLI0041,Xiomara,Ruano,18,hugo00@example.net,+34875 79 53 54,Malaga,Andalusia,01549,2021-12-05,2023-02-15,Trousers,Clothing,3,59.89,179.67,PayPal,Completed,
CLI0042,Macarena,Mercader,18,vera95@example.com,+34981904812,Madrid,Community of Madrid,21929,2024-01-28,2024-07-28,Keyboard,Electronics,4,108.27,433.08,Credit card,Completed,3
CLI0043,Maristela,Alegria,20,xbenitez@example.com,+34888 56 08 54,Zaragoza,Aragon,07563,2023-01-20,2023-05-11,Monitor,Electronics,4,509.14,2036.56,Bank transfer,Completed,2
CLI0044,Viviana,Salinas,67,agustindavid@example.com,+34 842 36 78 41,Las Palmas,Canary Islands,37909,2021-12-08,2023-12-29,Book,Culture,1,14.74,14.74,Bizum,Cancelled,2
CLI0045,Jenaro,Arana,19,jose-luisnoguera@example.net,+34882563036,Valencia,Valencian Community,32160,2022-06-14,2024-02-27,Watch,Accessories,2,123.13,246.26,Bank transfer,Pending,2
CLI0046,Alondra,Perea,73,saladiana@example.com,+34973 124 698,Barcelona,Catalonia,29461,2022-03-21,2024-01-27,Dress,Clothing,1,44.33,44.33,Bizum,Completed,
CLI0047,María Del Carmen,Dalmau,32,rufinaanglada@example.org,+34843 59 32 62,Barcelona,Catalonia,36912,2023-02-05,2023-08-22,Perfume,Accessories,3,82.54,247.62,PayPal,Pending,1
CLI0048,Joaquín,Ríos,61,canetjose-francisco@example.net,+34 986 64 42 82,Vigo,Galicia,22221,2023-08-13,2024-02-14,Backpack,Accessories,5,42.33,211.65,Cash,Completed,1
CLI0049,Etelvina,Palmer,34,fjimenez@example.org,+34926598302,Barcelona,Catalonia,41579,2022-11-20,2024-08-17,Perfume,Accessories,2,146.3,292.6,Credit card,Cancelled,3
CLI0050,Bruno,Solé,42,bernardo36@example.org,+34 927 76 94 20,Gijon,Asturias,16362,2022-06-19,2023-04-29,Headphones,Electronics,5,223.99,1119.95,Cash,Completed,
CLI0051,Gloria,Buendía,61,zacarias40@example.net,+34815206567,Cordoba,Andalusia,27563,2024-01-21,2024-07-05,Notebook,Culture,5,13.72,68.6,PayPal,Completed,3
CLI0052,Vito,Solsona,50,pujadasmaricruz@example.org,+34 821 624 624,Zaragoza,Aragon,49499,2023-03-28,2023-11-04,Monitor,Electronics,1,354.05,354.05,Bizum,Completed,3
CLI0053,Camilo,Aliaga,42,hernandezbaudelio@example.com,+34945814736,Alicante,Valencian Community,36482,2021-06-27,2024-11-11,Mouse,Electronics,4,21.46,85.84,PayPal,Cancelled,4
CLI0054,Joan,Rojas,31,agonzalo@example.net,+34969365216,Murcia,Region of Murcia,12955,2021-08-10,2023-10-21,Mouse,Electronics,3,85.04,255.12,Cash,Cancelled,4
CLI0055,Fabricio,Villa,48,ricartalejandra@example.net,+34913 827 178,Valladolid,Castile and León,38747,2022-09-01,2024-06-07,Keyboard,Electronics,2,90.75,181.5,PayPal,Completed,
